bw_mhz,dwell_ms,sweep_period_s,n_blocks,scans_per_sweep_s,pred_energy_j,evaluated,reject_reason,poi_10,poi_30,poi_60,poi_p1_60,energy_j,energy_cap_j,scan_span_frac,n_scans,n_unique_detections,energy_per_detection_j,coverage_frac,max_staleness_p1_s,admissible
10.0,10.0,5.0,20,4.0,3.5711999999999997,1,,0.25,0.5833333333333334,0.5833333333333334,0.0,3.541415100000011,5.826135699999867,0.9960116666666666,240.0,16.333333333333332,0.21805935569444515,0.0017949112589473995,4.990000000000002,1
10.0,20.0,10.0,20,2.0,3.2856,1,,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.0,3.256871100000001,5.826135699999867,0.9920116666666715,120.0,10.0,0.35325850555555566,0.002176769487049722,9.980000000000139,1
10.0,50.0,15.0,20,1.3333333333333333,4.7904,1,,0.16666666666666666,0.375,0.5833333333333334,0.0,4.746023099999998,5.826135699999867,0.9883450000000001,80.0,7.333333333333333,0.7653219068181815,0.0030502712237673694,14.950000000000003,1
20.0,10.0,5.0,10,2.0,2.1264000000000003,1,,0.20833333333333334,0.5416666666666666,0.5833333333333334,0.0,2.1095600999999955,5.826135699999867,0.9918483333333351,120.0,12.666666666666666,0.17128906794871757,0.0017887780882387613,4.990000000000034,1
20.0,20.0,5.0,10,2.0,3.3263999999999996,1,,0.2916666666666667,0.5416666666666666,0.5833333333333334,0.0,3.2975601000000014,5.826135699999867,0.9920150000000062,120.0,14.666666666666666,0.22899722916666676,0.0035851588905242635,4.980000000000068,1
20.0,20.0,10.0,10,1.0,1.9631999999999996,1,,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.0,1.9470920999999999,5.826135699999867,0.9836816666666698,60.0,9.0,0.2181464297222222,0.002233963256782601,9.980000000000068,1
2.0,5.0,10.0,100,10.0,4.847519999999999,1,,0.3333333333333333,0.4166666666666667,0.5416666666666666,0.0,4.810134299999988,5.826135699999867,0.9984256666666788,600.0,8.333333333333334,0.5853602587301573,0.00050932280249615,9.995000000000143,1
2.0,5.0,15.0,100,6.666666666666667,3.43168,1,,0.125,0.25,0.5416666666666666,0.0,3.4054526999999855,5.826135699999867,0.99759233333335,400.0,6.666666666666667,0.6707709863636335,0.00029209451171950007,14.995000000000566,1
5.0,1.0,2.0,40,20.0,4.434,1,,0.041666666666666664,0.2916666666666667,0.5416666666666666,0.0,4.409838600000044,5.826135699999867,0.9991933333333133,1200.0,9.0,0.5162311059523862,0.0005227057765041149,1.999000000000029,1
5.0,10.0,15.0,40,2.6666666666666665,2.5512,1,,0.125,0.3333333333333333,0.5416666666666666,0.0,2.53026659999999,5.826135699999867,0.9939266666666665,160.0,6.333333333333333,0.43108245777777604,0.0006067043446779388,14.990000000000004,1
10.0,5.0,2.0,20,10.0,5.028,1,,0.3333333333333333,0.4583333333333333,0.5416666666666666,0.0,4.989047100000056,5.826135699999867,0.998428333333336,600.0,20.666666666666668,0.2423099886420624,0.002603180857509183,1.9950000000000276,1
10.0,5.0,5.0,20,4.0,2.3712,1,,0.16666666666666666,0.4583333333333333,0.5416666666666666,0.0,2.3534151000000003,5.826135699999867,0.9959283333333432,240.0,11.333333333333334,0.2145128241702742,0.0008939351400182221,4.9950000000001324,1
10.0,10.0,15.0,20,1.3333333333333333,1.5903999999999998,1,,0.125,0.3333333333333333,0.5416666666666666,0.0,1.5780230999999982,5.826135699999867,0.9876783333333333,80.0,6.333333333333333,0.27761517499999966,0.0006033291539849314,14.990000000000002,1
10.0,20.0,7.5,20,2.6666666666666665,4.1808,1,,0.25,0.4166666666666667,0.5416666666666666,0.0,4.1437191000000135,5.826135699999867,0.9940950000000063,160.0,11.666666666666666,0.35577386212121326,0.002602570520610638,7.480000000000139,1
